payment_id,PARTN,AVKON,SGTXT,KWBTR,KWAER,BVDAT
[3405],Kim & Lee Technologies,US78QMZQ98005519667632, 100000006687 4712718098,164791.13,USD,20141011
[3406],Ivanov & Sons Engineering,EC73VFTS44096184588724,PAY INV100000000006195  zbh5yvsed5ad,350405.52,USD,20050926
[3407],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number 4086567931  REF nwy,152028.01,USD,20101001
[3408],Shoreline Property Group,PA04ULMP25623811229020,"- 0265859214, - 6679155593, - 2568868896, - 1355992690  REFERENCE eq4gjdrq",654470.4199999999,USD,20051003
[3409],Kim & Lee Technologies,US07VGMG69140207635056, 1000000023292 2564615217,23600.84,USD,20100930
[3410],Blue Horizon Travel Ltd,JP26PWMP40022856455126, 41366338901,16373574.27,JPY,20170930
[3411],Liu & Chao Engineering,NO83KQHA30401614802459,RECEIPT NO 0: 1397751162NO 1: 8779255951NO 2: 6916651798 ,4941516.3100000005,NOK,20131006
[3412],Schmidt & Co. Handels,ZW12LHLP01902321935235,receipt number 4115502367 ,127965.44,USD,20151008
[3413],Santos & Filhos Comércio,DE80EVCP03273345215817,RECEIPT  + 6356273126 + 4221870477 + 1180581382 + 3866988671,988891.75,EUR,20101014
[3414],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV10000000001 7083,128201.62,USD,20091012
[3415],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV100000000017083,133071.49,USD,20091103
[3416],Blue Horizon Travel Ltd,JP74DNBM06807398614973, 7089359612,22939369.54,JPY,20200930
[3417],TerraNova Energy Co.,KR69MWND72849777139761,PAY INV1000000000 07063 8745757999,359705120.15,KRW,20000930
[3418],Nakamura & Co. 株式会社,IE36HEJK22873963970442, INV100000000015977,6176.44,EUR,20171008
[3419],Nakamura Corp.,IE96HMFG05609084516214, INV100000000022150,117243.19,EUR,20230927
[3420],Eagle Financial Group,US55FZFE21568608001876,5601467692 ,86962.58,USD,20181005
[3421],Shoreline Property Group,PA04ULMP25623811229020, INV100000000 011466 REFERENCE zfr0,271295.11,USD,20200927
[3422],TerraNova Energy Co.,KR69MWND72849777139761,PAY  5836600377,191073707.56,KRW,20141020
[3423],Bianchi & Figli SRL,IE68ILGN99832823108385,RECEIPT  INV100000000007065,172842.54,EUR,20141007
[3424],Schmidt & Partners AG,KR87IOED57697510850392,receipt number INV100000000003175 ,461885767.55,KRW,20060921
[3425],Shoreline Property Group,PA93QJXH90039892057264, INV1000000000041 REFERENCE sbuq66aeetr,255308.86,USD,20101007
[3426],Schmidt & Partners AG,KR19XONN22004093612755,receipt number  3843028231,79928780.47,KRW,20191017
[3427],Schmidt & Partners AG,KR19XONN22004093612755,receipt number INV100000000025465 ,104877642.66999997,KRW,20191006
[3428],Schmidt & Co. Handels,ZW51DNVB11230644344992,receipt number 9766990131 ,169067.52,USD,20071004
[3429],Hassan & Co. Ltd.,ES07OXCB65709636961461,ORDER OF INV100000000012446 793796514,163336.58,EUR,20170922
[3430],Vulcan Heavy Industries,EC71LYVI31511398591665,+ 3997721996+ 4359579867 1000000002368 ,162264.02,USD,20081010
[3431],CEM PLANNERS,SV84DXDX31456639442288,receipt number  + 4083998296 & + 1735797748 REF d289b1tk5ctb,158842.21000000002,USD,20241022
[3432],Tanaka & Co. 株式会社,ZW70BCJL16136698104880,#RECEIPT:  INV1000000000105,443943.97,USD,20091028
[3433],Tanaka & Co. 株式会社,ZW70BCJL16136698104880,#RECEIPT:  INV100000000 010570,55872.369999999995,USD,20091015
[3434],Ivanov & Sons Engineering,EC67UYGR03734181648440,PAY  6087112258 j5pj4y,46262.9,USD,20151003
[3435],Ivanov & Sons Engineering,EC67UYGR03734181648440,PAY  6087112 528 0rj0yx30os93ar3,124936.80000000002,USD,20150927
[3436],TerraNova Energy Co.,KR17XYXA58116372865191,PAY  - 6549598398 - 62067143 - 298079053,1160542958.74,KRW,20001004
[3437],BF Holdings,JP04BQPW06234142267270,RECEIPT 5743209601 ,17544586.57,JPY,20141002
[3438],AMX INDUSTRIES,SE68LCKC51835489607558,receipt number  INV100000000008562,1264213.95,SEK,20241011
[3439],OpalStone Mining Inc.,ES61SPTI39154749449893,receipt number  198 7262494084,130529.04,EUR,20191006
[3440],Kim & Lee Technologies,US07VGMG69140207635056, 100010884 8 760321637,118663.98,USD,20231008
[3441],Kim & Lee Technologies,US07VGMG69140207635056, 100001660 0321637,89687.0,USD,20230928
[3442],Kim & Lee Technologies,US07VGMG69140207635056, 100000001774 760321637,225393.94,USD,20230930
[3443],Patel & Sons Pvt. Ltd.,SV68CHTX17930433876614,RECEIPT INV100000000006802 ,53709.98,USD,20170930
[3444],Global Solutions Ltd,NZ81PSLN50784663347230,RECEIPT INV10000000002601 ,309786.15,NZD,20241019
[3445],Lumen Power Technologies,IE65IXPZ88835428308186, INV100000000005594,11026.14,EUR,20131024
[3446],Lumen Power Technologies,IE65IXPZ88835428308186,3874378886 INV100000000005594,68277.29,EUR,20130922
[3447],Lumen Power Technologies,IE65IXPZ88835428308186, INV100000000005594,8317.62,EUR,20130920
[3448],Lumen Power Technologies,IE65IXPZ88835428308186, INV100000000005594,9498.570000000007,EUR,20131005
[3449],Patel & Sons Pvt. Ltd.,SV68CHTX17930433876614,RECEIPT  4783930898,136841.48,USD,20001010
[3450],Nakamura Corp.,IE96HMFG05609084516214,+ 1968214765+ 3418664116+ 7240192639+ 2001600137+ 0944856282+ 0535305848 ,1111278.19,EUR,20130925
[3451],Schmidt & Partners AG,KR19XONN22004093612755,receipt number  4533008046,104161660.15,KRW,20060928
[3452],Schmidt & Partners AG,KR19XONN22004093612755,receipt number  4533008046,138686275.06,KRW,20061014
[3453],Global Solutions Ltd,NZ81PSLN50784663347230,RECEIPT  9261639960,9675.55,NZD,20241102
[3454],Global Solutions Ltd,NZ81PSLN50784663347230,RECEIPT  69621639960,15097.899999999998,NZD,20240928
[3455],Santos Trading Co.,DE89YSHI11942314767521,RECEIPT INV100000000021121 ,48957.62,EUR,20101014
[3456],Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF 387842191 9 ,107871.4,USD,20000929
[3457],Schmidt & Partners AG,KR28BVOX73302140824849,receipt number  112940968,299783738.55,KRW,20131015
[3458],Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number 6365969843  a59,284410.81999999995,USD,20091019
[3459],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY NV100000000018366  frz0l6j,139883.79,USD,20111002
[3460],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY NV100000000018366 5787901257 q2vc7113dsfyl,79949.99000000002,USD,20110928
[3461],TerraNova Energy Co.,KR69MWND72849777139761,PAY INV100000000004838 ,287422150.67,KRW,20130928
[3462],Schmidt & Partners AG,KR19XONN22004093612755,receipt number  2571137011,194439531.89,KRW,20211016
[3463],Ramirez & Hijos Consultoría,EC52ABOT61230474486347,receipt number  2951277718,20598.35,USD,20091014
[3464],Ramirez & Hijos Consultoría,EC52ABOT61230474486347,receipt number INV100000000001563 ,16026.06,USD,20091007
[3465],Liu & Chao Engineering,NO67KUKR75990558614961,RECEIPT 688 6587902 INV100000000001370,1121387.24,NOK,20051004
[3466],Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number 9378981787  g5090,45651.88,USD,20011016
[3467],Nexus Financial Services,PA09PJVM46986363192179,receipt number 7378115432  REFERENCE av9eb2y55nef,71080.83,USD,20231002
[3468],TNE RESOURCES,KR10ETEG29651040778365,PAY  1626005511,147391765.75,KRW,20211009
[3469],NFS ADVISORS,PA57EITK85774453544950,receipt number  INV100000000002037 REFERENCE rwpp6o145no6q4u,215693.72,USD,20170923
[3470],Vulcan Heavy Industries,EC46SLCU14727463738896, 10000002790 NV100000000021711,243495.32,USD,20131027
[3471],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 6077167422  ke8i7y40meu60r8,48664.17,EUR,20131015
[3472],Ivanov & Partners Ltd.,SV53TGRH56690308862815,ORDER OF 0204012705 ,19212.56,USD,20231005
[3473],Ivanov & Partners Ltd.,SV53TGRH56690308862815,ORDER OF  INV100000000033606,8566.98,USD,20230930
[3474],LC Engineering,NO83KQHA30401614802459,RECEIPT  INV100000000031334,5916809.8,NOK,20200927
[3475],ADL TECH,US30QLXI48317160457318,5380127529 ,179158.34,USD,20030928
[3476],Dubois Holdings,ZW36YWNE17469290674294, 100000000001721 INV100000000031677 NUM gkwyabbb,47223.85,USD,20051012
[3477],Dubois Holdings,ZW36YWNE17469290674294, 100007920 INV100000000031677 NUM b07d7thhlv,53566.41000000001,USD,20051004
[3478],Apollo Catering Services,EC65DGAR74950078797614,RECEIPT  93220279168,291974.94,USD,20071030
[3479],NFS ADVISORS,PA62DRIL34514339426048,receipt number  INV100000000018413 REFERENCE 2hd6mfw83prhw,50505.73,USD,20210923
[3480],Eagle Financial Group,US79SOJP91414018217062, IN V100000000007583,44455.28,USD,20161009
[3481],Eagle Financial Group,US79SOJP91414018217062,6688786845 INV1000000040007583,57243.11,USD,20160926
[3482],Dupont & Frères SARL,IE84PFGD56213172748980,ORDER OF INV100000000001211 1000000048225 9336580056,217681.96,EUR,20081007
[3483],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF  INV100000000001910 wwqkr86,39012.9,EUR,20050923
[3484],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 1517825379  cjobo256b5,23597.91,EUR,20051004
[3485],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 1517825379  uc0o5kp6,27932.11,EUR,20051016
[3486],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY  NO 0: 5066307125 & NO 1: 0804702079 & NO 2: 8746001828 & NO 3: 8142908320 ppp9yv3o,391781.76,USD,20031006
[3487],Ivanov & Sons Engineering,EC90BMJQ22184557145398,PAY INV100000000006904  suc,60275.03,USD,20221004
[3488],Ivanov & Sons Engineering,EC90BMJQ22184557145398,PAY INV100000000006904  zbdwz55p3zz5,8664.840000000006,USD,20221006
[3489],Kim & Choi Electronics,FR64WMIF35021218661871,"ORDER OF no 0: 7757945371, no 1: 4330161830  m6f4yfdsp",280601.42000000004,EUR,20071010
[3490],Ramirez & Hijos Servicios,EC82DAEC93383522385495,receipt number 0029376237  nw1dl0d53inpv37,141636.67,USD,20241019
[3491],Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651, 1998 INV100000000011510,143473.15,EUR,20141008
[3492],Pacific Ocean Fisheries,PA07YBHQ30636811836252,#RECEIPT:  100000000001112 3567337319,120308.32,USD,20110927
[3493],Pacific Ocean Fisheries,PA07YBHQ30636811836252,#RECEIPT: INV100000000024394 1998 ,161488.25,USD,20111008
[3494],Dupont & Frères SARL,IE69OHOG46653629276946,ORDER OF  100000000005866 ref 0: 8037964783 ref 1: 6131070916 ref 2: 8840923114 ref 3: 7341669064,419803.98,EUR,20071005
[3495],Zhao & Sons Ltd.,EU21QINT89660374269417,payment  INV10000000012582 REFERENCE c783lweit,180941.33,EUR,20031015
[3496],Crimson Event Management,SV85SSLY04454337163620,receipt number INV100000000012009  REF wqenivdhot7,313714.93,USD,20151010
[3497],TerraNova Energy Co.,KR10ETEG29651040778365,PAY INV100000000001218 67923904,141125882.17,KRW,20041002
[3498],Lumen Power Technologies,IE81NFGS32338919992498, INV100000000001641,39783.6,EUR,20151019
[3499],Blue Horizon Travel Ltd,JP26PWMP40022856455126, REF 0: 908311907 & REF 1: 18289358057 & REF 2: 13109941338 & REF 3: 182590091,126128269.03999999,JPY,20181009
[3500],Santos & Filho Lda.,AU50XCVD96651289873406,"PAY  4851873433, 0976613641, 088723556",559425.94,AUD,20201007
[3501],Ramirez & Hijos Servicios,EC49WYDK83986295890579,receipt number NO 0: 458101748 NO 1: 9 484564062 NO 2: 1145 199114 NO 3: 51068501  qdrl4p77t56jh,645836.63,USD,20180927
[3502],Red Maple Ventures,US49XYJM88732373778550,payment  INV100000000010053,96673.61,USD,20130922
[3503],Patel & Co. Pvt. Ltd.,ZW76GAMT92974160785191,RECEIPT  199 INV10000000000529 NUM obueg,442128.33,USD,20080929
[3504],Ivanov & Sons Engineering,EC67UYGR03734181648440,PAY  NO 0: 2360221861 & NO 1: 2810626477 & NO 2: 5095234001 & NO 3: 4831805788 t37qtai25yg,523813.68,USD,20111009
[3505],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY INV10000000000863  ei34lf,173783.54,USD,20150923
[3506],Smith & Co. Consulting,US36DHCV84661875637302,RECEIPT INV10000000000 2548 8017524321,98859.99,USD,20231005
[3507],PL Innovations,IT69XBSD04498910535216,ORDER OF - 0036080291 - 9881678259 ,395050.55,EUR,20160930
[3508],Ramirez & Hijos Servicios,EC31JANL42811079552321,receipt number 4169359634  j7nsc66,163354.52,USD,20111025
[3509],Patel & Co. Pvt. Ltd.,ZW76GAMT92974160785191,RECEIPT 50306611363 100000000563  NUM falq2,213371.76,USD,20130926
[3510],Pacific Ocean Fisheries,PA81NKDG94676776743427,#RECEIPT: INV10000000003741 1006042 ,194731.57,USD,20181001
[3511],Dubois & Co. S.A.R.L.,ZW56XFHN11186257856366,1969253852 100000014653  NUM j77awfdd8,78462.12999999999,USD,20081019
[3512],Eagle Financial Group,US55FZFE21568608001876,- 6026868128- 7234387944 ,251377.32,USD,20110923
[3513],Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF 6052395274 ,304500.76,USD,20041001
[3514],Patel & Co. Pvt. Ltd.,ZW71WJDX88155642569867,RECEIPT  1000021765 INV100000000008 601 NUM jhsb9,150957.16,USD,20190930
[3515],Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF  INV010000000002786,187254.49,USD,20180929
[3516],Infinity Edge Technologies,ES20WSWB76296960053374,PAY INV100000000002951 ,294109.07,EUR,20160925
[3517],Oliveira & Filhos Comércio,ZW82TTLX51391866569957,receipt number  INV100000000004919 REF yn7,223626.38,USD,20220929
[3518],Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number 0956965061  nfne40kendaxhw,59238.16,USD,20231002
[3519],Nakamura & Co. 株式会社,IE80QKMH17158377169473,+ 2499489015+ 9566260328+ 0844282139+ 1492025925 ,235634.41,EUR,20091028
[3520],AMX INDUSTRIES,SE24QMID07942349086678,receipt number 5147288903 ,478075.33,SEK,20221001
[3521],Zhang & Co. Limited,US69PRBU03423003667445,receipt number  no 0: 43594215181 & no 1: 6898159318 & no 2: 21493797789 & no 3: 196046205,333265.29000000004,USD,20241003
[3522],DF Solutions,IE69OHOG46653629276946,ORDER OF  1996 2487614380,34239.76,EUR,20010928
[3523],DF Solutions,IE69OHOG46653629276946,ORDER OF INV100000000019343 100000000012482 ,82007.53999999998,EUR,20010929
[3524],Aurora Digital Labs,US30QLXI48317160457318,3123741554 ,187348.84,USD,20051004
[3525],Ramirez & Hijos Consultoría,EC36JHZD22895566926999,receipt number  3 644615166,155348.83,USD,20081005
[3526],TerraNova Energy Co.,KR17XYXA58116372865191,PAY INV100000000016813 31 21449653,587311740.63,KRW,20151014
[3527],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number 7503051711 INV10000000001043 REF 2mj1c8f2,87602.74,USD,20060930
[3528],Ivanov & Sons Engineering,EC86PWTQ21090281441629,PAY  2449996348 eme5a7yq,259236.88,USD,20040927
[3529],Schmidt & Partners AG,KR19XONN22004093612755,receipt number  REF 0: 3997481344REF 1: 7855510210,953174323.6,KRW,20231022
[3530],Nexus Financial Services,PA09PJVM46986363192179,receipt number  INV1000000040038041 REFERENCE gxwbt423e1xs,174005.63,USD,20101012
[3531],OpalStone Mining Inc.,ES20CMTE44658450515327,receipt number  100011378 7913512417,52984.56,EUR,20221018
[3532],OpalStone Mining Inc.,ES20CMTE44658450515327,receipt number  1009619 79131352417,52946.48999999999,EUR,20221013
[3533],Global Solutions Ltd,NZ29LIZK29007033770641,RECEIPT  4792279418,121845.56,NZD,20121011
[3534],Rossi & Figli S.p.A.,CH63NCZR79469934122522, INV100000000000687,34092.38,CHF,20211014
[3535],Rossi & Figli S.p.A.,CH85XPHK60079323701744,9989242176 ,155902.86000000002,CHF,20131012
[3536],Dubois & Co. S.A.R.L.,ZW36YWNE17469290674294,77664096296 10000000012514  NUM zdbhani2,156588.45,USD,20191019
[3537],H&S Enterprises,ES12GKZF14685184041382,no 0: 7563551082no 1: 3063717975no 2: 1340019121no 3: 7411584800no 4: 7721021519 10000000002418 ,469694.7,EUR,20051014
[3538],Dupont & Frères SARL,IE84PFGD56213172748980,ORDER OF INV100000000012390 1000000014491 ,104953.06,EUR,20071019
[3539],Dupont & Frères SARL,IE84PFGD56213172748980,ORDER OF  10000000011078 7246094468,64359.26000000001,EUR,20071007
[3540],KL Technologies,US07VGMG69140207635056, 1008215 7381735624,31143.47,USD,20231004
[3541],Bertolini & Figli S.p.A.,JP52NVBD41881113710759,RECEIPT 04677088040 ,38511085.46,JPY,20111002
[3542],SC CONSULTING GROUP,US68TYWD93527713228340,RECEIPT INV100000000012451 ,5218.87,USD,20181013
[3543],Zhang & Co. Limited,US15SVBG74166913229289,receipt number  no 0: 9800131908 & no 1: 5318879808 & no 2: 2541528016 & no 3: 0368917858 & no 4: 2146657402,1127913.69,USD,20110928
[3544],LPT ENERGY,IE16XJVZ01668558714423,6051882402 ,80729.23,EUR,20031005
[3545],Infinity Edge Technologies,ES20WSWB76296960053374,PAY INV100000000006397 ,176633.95,EUR,20211003
[3546],OF Trading,ZW61NWKH00776954994515,receipt number 1284117865  REF xvbj7fr,49938.17,USD,20241025
[3547],OF Trading,ZW61NWKH00776954994515,receipt number 1284117865  REF tsnzkf9ec1,5641.220000000001,USD,20241015
[3548],Vulcan Heavy Industries,EC96HOBH95227782115933,+ 647777404+ 148938583+ 7 797861496+ 160040237 199 ,724063.68,USD,20211023
[3549],Bertolini & Co. SRL,JP10BDVR92723039543589, 5983454847,8226896.25,JPY,20130924
[3550],OpalStone Mining Inc.,ES61SPTI39154749449893,receipt number  1998 2101843584,159789.44,EUR,20061027
[3551],Ramirez & Hijos Consultoría,EC52ABOT61230474486347,receipt number INV100000000008927 166691589 7,45515.14,USD,20120924
[3552],Santos & Filhos Comércio,DE13PBFW62516574641980,RECEIPT  91816146591,106251.97,EUR,20091008
[3553],Santos & Filhos Comércio,DE13PBFW62516574641980,RECEIPT  918161469,116514.85,EUR,20091015
[3554],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF  INV100000000001922 34i7ty,77792.9,EUR,20051001
[3555],Ferrari & Figli SRL,SV41OAYF71955705708972,ORDER OF NO 0: 50540889 89 & NO 1: 370109470 & NO 2: 3298810600 & NO 3: 46911797253 ,611361.26,USD,20041001
[3556],AeroMax Manufacturing,SE68LCKC51835489607558,receipt number  INV10000000004110,872354.25,SEK,20131013
[3557],OF Trading,ZW97JTDO82348480752347,receipt number REF 0: 1077243743REF 1: 9751955178  REF 0w7575w04lehu,411686.42000000004,USD,20071001
[3558],Pacific Ocean Fisheries,PA70JIXZ70733964113197,#RECEIPT:  1000000002635 8 102492384,203086.7,USD,20221019
[3559],Aurora Digital Labs,US30QLXI48317160457318,7021919123 ,9341.91,USD,20181002
[3560],Aurora Digital Labs,US30QLXI48317160457318,7021919123 ,65116.06999999999,USD,20181011
[3561],Dupont & Frères SARL,IE84PFGD56213172748980,ORDER OF INV1000006000004472 1000000003580 ,86387.25,EUR,20221031
[3562],Kim & Choi Electronics,FR30KSSC94928415856154,ORDER OF 928821120 INV100000000000744 2f91p0f,157388.68,EUR,20200930
[3563],ACS HOSPITALITY,EC22BZGP90168289034266,RECEIPT INV100000000010370 ,139525.49,USD,20061019
[3564],Blue Horizon Travel Ltd,JP26PWMP40022856455126,INV1000000 00019698 ,6721300.52,JPY,20001015
[3565],Blue Horizon Travel Ltd,JP26PWMP40022856455126,INV1000000000196 98 ,6224515.530000001,JPY,20000930
[3566],GXS TECH,JP19TNWK68759581163124,payment  + 7437866193 & + 5700292569 & + 2871825615 & + 6201736330 & + 8780436350 & + 8045363953 & + 5881078110 bfhvy6aakb,126587769.79,JPY,20211026
[3567],Park & Lee Solutions,IT16HXHD15991479959515,ORDER OF 3257023132 INV100000000005209,66044.57,EUR,20190929
[3568],P&S Enterprises,SV68CHTX17930433876614,RECEIPT  REF 0: 0239936370REF 1: 2889862119REF 2: 6658404966REF 3: 2377232948,983568.3899999999,USD,20210927
[3569],Dubois & Frères SARL,ZW06XMUW81470863436484,receipt number  1654112529,222761.69,USD,20060926
[3570],Dubois & Frères SARL,ZW06XMUW81470863436484,receipt number INV100000000000072 ,62092.640000000014,USD,20061011
[3571],Vista Health Care Services,SV45AQUO19832173360815,payment  2273460602,322911.86,USD,20041009
[3572],Galaxy IT Services,JP51JASX13559320863471,payment  2491110664 g226,39815436.04,JPY,20241005
[3573],Nakamura & Co. 株式会社,IE36HEJK22873963970442, INV100000000017817,226380.86,EUR,20061017
[3574],Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF 89630636352010230617210143278539 ,781268.0000000001,USD,20051105
[3575],TerraNova Energy Co.,KR17XYXA58116372865191,PAY  364888312,48473024.94,KRW,20201010
[3576],Park & Lee Solutions,IT64AITM32552963920417,ORDER OF 4164899740 INV100000000005917,154311.07,EUR,20241013
[3577],AMX INDUSTRIES,SE53SCDZ28435311116159,receipt number  INV100000000012895,676607.08,SEK,20051004
[3578],AMX INDUSTRIES,SE53SCDZ28435311116159,receipt number 4945930674 ,934781.4800000001,SEK,20051011
[3579],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  467695599,86059.99,AUD,20211007
[3580],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  446769559,134182.19,AUD,20211020
[3581],Red Maple Ventures,US49XYJM88732373778550,payment 68843636395 ,243484.76,USD,20081009
[3582],Crimson Event Management,SV12OVQE34825959716219,receipt number  + 8680018076 & + 4908268453 & + 3990360134 REF d7akksw03zz,372672.22,USD,20080927
[3583],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV10 0000000012502,27480.34,USD,20061004
[3584],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV100000000012502,15672.32,USD,20061008
[3585],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV10000000001,171434.74,USD,20060929
[3586],Zhang & Co. Limited,US80YMLZ45679853732694,receipt number  no 0: 5981814903 & no 1: 3477944547 & no 2: 3446546683,615477.83,USD,20040930
[3587],Patel & Co. Pvt. Ltd.,ZW71WJDX88155642569867,RECEIPT  100000000008039 INV100000000001071 NUM dvpghtsv0,180170.85,USD,20231016
[3588],Patel & Co. Pvt. Ltd.,ZW76GAMT92974160785191,RECEIPT 579202718 100000000002190  NUM l0gc5oir,229095.94,USD,20211022
[3589],Tanaka Corp.,ZW28TTSS20204212538805,#RECEIPT: 4009911434 ,127231.73,USD,20090925
[3590],Tanaka Corp.,ZW28TTSS20204212538805,#RECEIPT:  INV100000000000603,118001.45,USD,20091026
[3591],Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT 9649201020 NIV100000000001500,54750.53,EUR,20051009
[3592],Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT  INV100000000001500,49592.600000000006,EUR,20051013
[3593],Dubois & Frères SARL,ZW27IZUX97571132337325,receipt number  ref 0: 424239525 & ref 1: 399532 4244 & ref 2: 4327669 011,478643.63,USD,20241007
[3594],Red Maple Ventures,US72PKFU92746836124279,payment 0587025877 INV10000000006587,31424.58,USD,20151004
[3595],CEM PLANNERS,SV86UIFV56069928982649,receipt number  0629702570 REF a6f6srnmhj,195681.79,USD,20001104
[3596],Patel & Sons Pvt. Ltd.,SV54HXEA79381774413232,RECEIPT NIV100000000033260 ,141882.52,USD,20241005
[3597],Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF  I2NV100000000025338,61568.76,USD,20050922
[3598],Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF  INV10000000002538,145025.37,USD,20050930
[3599],Crimson Event Management,SV88HXRU08048043718127,receipt number  + 556181456 & + 58696118399 & + 518913545 & + 9733098831 & + 397715981 & + 2854046412 REF ey8lp4cko,643489.11,USD,20191003
[3600],LC Engineering,NO83KQHA30401614802459,RECEIPT  INV100000000018432,1093563.2,NOK,20191003
[3601],Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF  INV100000000 000677,92513.38,USD,20071011
[3602],Renault & Fils SARL,EU39QKFV96686500836193,"RECEIPT REF 0: 1226790997, REF 1: 0522295682, REF 2: 2987112910 ",510636.36,EUR,20140929
[3603],Rossi Family Ventures,CH85XPHK60079323701744,1603553470 ,26715.18,CHF,20061006
[3604],Rossi Family Ventures,CH85XPHK60079323701744,1603553470 ,148188.38,CHF,20061014
[3605],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  2841383446,776904.99,AUD,20000924
[3606],Vista Health Care Services,SV33LFZT25489849531543,"payment  + 9316259137, + 2329434319, + 3463395676, + 6768339458, + 2440740697",818624.6500000001,USD,20011006
[3607],Nexus Financial Services,PA68LDWF41360649112653,receipt number 8700070205  REFERENCE ks9c,405706.94,USD,20091014
[3608],Lumen Power Technologies,IE10PEWN36363975730276,ref 0: 3181909552 | ref 1: 9831732914 | ref 2: 7385914552 ,590966.6,EUR,20180928
[3609],Blue Horizon Travel Ltd,JP26PWMP40022856455126,INV100000000019940 ,7532095.66,JPY,20021010
[3610],VISTA CARE NETWORK,SV33LFZT25489849531543,"payment  + 2551413460, + 9572516699, + 6534484619, + 2575477908",540390.77,USD,20241003
[3611],RF Solutions,EU80SHBU99676216281717,RECEIPT 8551558625 ,167987.5,EUR,20081011
[3612],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT: 2928649140 INV100000000025145,123257.03,USD,20191001
[3613],BF Holdings,JP04BQPW06234142267270,RECEIPT  INV100000000009000,12891030.29,JPY,20001004
[3614],BF Holdings,JP04BQPW06234142267270,RECEIPT 1827905379 ,16017560.399999999,JPY,20001017
[3615],Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number  INV100000000018690 REF cht705,211576.48,USD,20211005
[3616],Santos & Filho Lda.,AU04ARGM63806586266454,PAY INV100000000009596 ,27274.06,AUD,20021015
[3617],Santos & Filho Lda.,AU04ARGM63806586266454,PAY INV100000000009596 4481436795,33997.07000000001,AUD,20021030
[3618],Rossi & Figli S.p.A.,CH85AJPU47348124813492, INV100000000002200,18633.34,CHF,20241020
[3619],IP Consulting,SV72COVR08960277816802,ORDER OF  INV100000000002153,516479.49,USD,20020923
[3620],Nexus Financial Services,PA57EITK85774453544950,receipt number 731447317257292674317794834733  REFERENCE mgxia,345402.04,USD,20031001
[3621],Pacific Ocean Fisheries,PA07YBHQ30636811836252,#RECEIPT:  100016516 0212819083,131939.94,USD,20181015
[3622],Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF  INV100000000021050,71833.55,USD,20161003
[3623],Global Solutions Ltd,NZ14XVEX97660034052058,RECEIPT IN100000000008131 5698026673,177356.08,NZD,20111003
[3624],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV10000000 0006859,138626.31,USD,20141002
[3625],GXS TECH,JP55URXX19922438559959,payment INV100000000008186  n2a6ce4ebpzv8j,20812787.64,JPY,20191013
[3626],Lumen Power Technologies,IE81NFGS32338919992498,ref 0: 0665813187 | ref 1: 5501588912 | ref 2: 1057319708 | ref 3: 1403891148 | ref 4: 4334500413 | ref 5: 1759103041 | ref 6: 8383752459 ,813313.2700000001,EUR,20101004
[3627],Global Solutions Ltd,NZ29LIZK29007033770641,RECEIPT  6118827979,140062.52,NZD,20131017
